name,price,type,Number_door,kilometrage,first_hand,Secteur,marque,Etat,year_model,origin
Bmw 118d pack M Top,164429.89045383412,"Voitures d occasion, à vendre",5.0,10 000 - 14 999,Oui,Hay Riad,BMW,Excellent,2020,WW au Maroc
dacia logan,105000.0,"Voitures d occasion, à vendre",5.0,120 000 - 129 999,Non,Nan,Dacia,Très bon,2018,WW au Maroc
Mercedes-Benz Classe C Diesel 2019,164429.89045383412,"Voitures d occasion, à vendre",5.0,65 000 - 69 999,Oui,Toute la ville,Mercedes-Benz,Excellent,2019,Dédouanée
Mercedes classe C63 AMG,164429.89045383412,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Non,Maarif,Mercedes-Benz,Excellent,2008,Dédouanée
BMW SERIE 8 pack M,164429.89045383412,"Voitures d occasion, à vendre",5.0,55 000 - 59 999,Oui,Aïn Diab,BMW,Excellent,2020,Importée neuve
MERCEDES C 220 DIESEL,164429.89045383412,"Voitures d occasion, à vendre",5.0,5 000 - 9 999,Oui,Aïn Diab,Mercedes-Benz,Excellent,2022,Importée neuve
Renault Clio,37000.0,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Non,Nan,Renault,Très bon,2000,WW au Maroc
MINI JOHN COOPER WORKS,275000.0,"Voitures d occasion, à vendre",3.0,75 000 - 79 999,Oui,Aïn Diab,mini,Excellent,2016,Importée neuve
Renault kadjar full options,195000.0,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Non,Al Maghrib Al Arabi,Renault,Excellent,2017,WW au Maroc
Peugeot 407 a vendre,82000.0,"Voitures d occasion, à vendre",5.0,250 000 - 299 999,Non,Nan,Peugeot,Excellent,2010,Dédouanée
peugeot 307,164429.89045383412,"Voitures d occasion, à vendre",5.0,35 000 - 39 999,Non,Nan,Peugeot,Très bon,2005,WW au Maroc
Toyota corolla Diesel 2003 1ere main,65000.0,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Oui,Charaf,Toyota,Excellent,2003,WW au Maroc
Mercedes C220,88000.0,"Voitures d occasion, à vendre",5.0,250 000 - 299 999,Non,Nan,Mercedes-Benz,Bon,1999,Dédouanée
AUDI Q8 IMPORTÉE,164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Non,Aïn Diab,Audi,Excellent,2022,Importée neuve
JEEP GRAND CHEROKEE OVERLAND,215000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Nan,Al Maghrib Al Arabi,Jeep,Excellent,2016,WW au Maroc
AUDI A3 AUTOMATIQUE,129000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Nan,Autre secteur,Audi,Excellent,2012,WW au Maroc
Tiguan diesel dédouanée.,350000.0,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Oui,Al Maghrib Al Arabi,Volkswagen,Excellent,2017,Dédouanée
FORD FOCUS DIESEL,155000.0,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Nan,Al Maghrib Al Arabi,Ford,Excellent,2016,WW au Maroc
CADDY ÉDITION 35,179000.0,"Voitures d occasion, à vendre",5.0,95 000 - 99 999,Nan,Al Maghrib Al Arabi,Volkswagen,Excellent,2018,WW au Maroc
Ferrari 488 Essence 2017,164429.89045383412,"Voitures d occasion, à vendre",3.0,50 000 - 54 999,Oui,Quartier des Hôpitaux,Ferrari,Excellent,2017,Importée neuve
FORD FOCUS GHIA DIESEL,82000.0,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Nan,Autre secteur,Ford,Excellent,2008,WW au Maroc
Volvo xc70 Diesel 2010,80000.0,"Voitures d occasion, à vendre",5.0,350 000 - 399 999,Non,Wifak,Volvo,Très bon,2010,WW au Maroc
Renault Kadjar,164429.89045383412,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Non,Nan,Renault,Très bon,2016,WW au Maroc
Honda jazz automatique,164429.89045383412,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Non,Nan,Honda,Très bon,2007,WW au Maroc
